Time,Digital Thermometer,Thermistor
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.13
26/01/2021 16:39,1.12,1.11
26/01/2021 16:39,1.12,1.15
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.2
26/01/2021 16:39,1.12,1.15
26/01/2021 16:39,1.06,1.17
26/01/2021 16:39,1.12,1.13
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.2
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.15
26/01/2021 16:39,1.12,1.13
26/01/2021 16:39,1.12,1.15
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.15
26/01/2021 16:39,1.12,1.15
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.13
26/01/2021 16:39,1.12,1.17
26/01/2021 16:39,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.2
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.13
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.13
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.22
26/01/2021 16:40,1.12,1.2
26/01/2021 16:40,1.12,1.13
26/01/2021 16:40,1.12,1.11
26/01/2021 16:40,1.12,1.13
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.17
26/01/2021 16:40,1.12,1.22
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:40,1.12,1.15
26/01/2021 16:41,1.12,1.11
26/01/2021 16:41,1.12,1.2
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.13
26/01/2021 16:41,1.12,1.11
26/01/2021 16:41,1.12,1.13
26/01/2021 16:41,1.12,1.2
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.13
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.13
26/01/2021 16:41,1.12,1.11
26/01/2021 16:41,1.12,1.13
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.2
26/01/2021 16:41,1.12,1.2
26/01/2021 16:41,1.12,1.11
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.13
26/01/2021 16:41,1.12,1.17
26/01/2021 16:41,1.12,1.15
26/01/2021 16:41,1.12,1.11
26/01/2021 16:42,1.12,1.17
26/01/2021 16:42,1.12,1.22
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.17
26/01/2021 16:42,1.12,1.17
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.17
26/01/2021 16:42,1.19,1.2
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.19,1.13
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.12,1.11
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.17
26/01/2021 16:42,1.19,1.17
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.2
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.12,1.11
26/01/2021 16:42,1.19,1.17
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.19,1.22
26/01/2021 16:42,1.12,1.13
26/01/2021 16:42,1.19,1.15
26/01/2021 16:42,1.19,1.17
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.19,1.13
26/01/2021 16:42,1.12,1.15
26/01/2021 16:42,1.12,1.17
26/01/2021 16:43,1.12,1.11
26/01/2021 16:43,1.12,1.17
26/01/2021 16:43,1.12,1.13
